FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
1525127,Rock Creek,Stream,WA,53,King,33,472333N,1215649W,47.3926017,-121.9470582,472631N,1215302W,47.4420465,-121.8840018,182,597,Hobart,9/10/79,
1525128,Rock Creek,Stream,WA,53,Clallam,9,480019N,1231014W,48.005369,-123.170456,475937N,1231135W,47.9937023,-123.1929563,347,1138,Carlsborg,9/10/79,
1525129,Rock Creek,Stream,WA,53,Snohomish,61,481442N,1220501W,48.2451021,-122.0834751,481818N,1220536W,48.3051036,-122.0931999,24,79,Arlington East,9/10/79,
1525131,Rock Creek Shelter,Locale,WA,53,King,33,472923N,1212615W,47.4898345,-121.4375944,,,,,468,1535,Snoqualmie Pass,9/10/79,
1525133,Rock Creek Trail,Trail,WA,53,King,33,471031N,1213158W,47.1753878,-121.5328729,,,,,1103,3619,Nagrom,9/10/79,
1525139,Rock Lake,Lake,WA,53,King,33,473245N,1212635W,47.545812,-121.4429242,,,,,1181,3875,Snoqualmie Lake,9/10/79,5/14/19
1525140,Rock Lake,Lake,WA,53,King,33,473825N,1212006W,47.6402698,-121.3350841,,,,,1387,4550,Skykomish,9/10/79,5/21/19
1525147,Rock Pass,Gap,WA,53,Whatcom,73,485213N,1204516W,48.8704135,-120.7545584,,,,,1982,6503,Shull Mountain,9/10/79,
1525152,Rockdale,Populated Place,WA,53,King,33,472332N,1212715W,47.3923341,-121.454261,,,,,768,2520,Snoqualmie Pass,9/10/79,
1525153,Rockdale Lake,Lake,WA,53,King,33,472323N,1212547W,47.3896559,-121.429797,,,,,1082,3550,Snoqualmie Pass,9/10/79,5/14/19
1525154,Rockefeller Creek,Stream,WA,53,Whatcom,73,484406N,1204543W,48.7351346,-120.7620548,484441N,1204440W,48.7448571,-120.7445544,1049,3442,Azurite Peak,9/10/79,
1525156,Rockport,Populated Place,WA,53,Skagit,57,482908N,1213551W,48.485671,-121.5976334,,,,,87,285,Rockport,9/10/79,3/21/08
1525157,Rockport State Park,Park,WA,53,Skagit,57,482917N,1213654W,48.4881708,-121.6151342,,,,,143,469,Rockport,9/10/79,
1525158,Rocky Brook,Stream,WA,53,Jefferson,31,474259N,1225632W,47.7164808,-122.9421063,474528N,1230209W,47.7578689,-123.0357216,32,105,Brinnon,9/10/79,
1525160,Rocky Creek,Stream,WA,53,Skagit,57,482659N,1220044W,48.4498306,-122.0120908,482348N,1220345W,48.3966667,-122.0625,212,696,Haystack Mountain,9/10/79,
1525161,Rocky Creek,Stream,WA,53,Clallam,9,475551N,1234500W,47.9309208,-123.7499172,475630N,1234410W,47.9416667,-123.7361111,908,2979,Mount Carrie,9/10/79,
1525162,Rocky Creek,Stream,WA,53,Whatcom,73,484833N,1215949W,48.8092855,-121.9968166,484840N,1215601W,48.8111111,-121.9336111,621,2037,Groat Mountain,9/10/79,
1525163,Rocky Creek,Stream,WA,53,Whatcom,73,483848N,1214207W,48.646785,-121.7018071,484318N,1215033W,48.7217849,-121.8423685,140,459,Welker Peak,12/31/92,
1525164,Rocky Creek,Stream,WA,53,Pierce,53,472203N,1224656W,47.3675948,-122.7823605,472511N,1224539W,47.4198166,-122.7609721,24,79,Vaughn,9/10/79,
1525165,Rocky Creek,Stream,WA,53,Clallam,9,480156N,1232204W,48.0323131,-123.3676835,480000N,1232444W,48,-123.4122222,278,912,Morse Creek,9/10/79,
1525166,Rocky Creek,Stream,WA,53,Skagit,57,483002N,1212941W,48.500673,-121.4948522,483315N,1213332W,48.5542846,-121.5590226,84,276,Marblemount,9/10/79,
1525174,Rocky Point,Cape,WA,53,Clallam,9,480546N,1225832W,48.0962036,-122.9754516,,,,,27,89,Gardiner,9/10/79,
1525176,Rocky Rapids,Rapids,WA,53,Jefferson,31,473843N,1241427W,47.6452732,-124.2408244,,,,,48,157,Christmas Creek,9/10/79,4/9/19
1525178,Rocky Run,Stream,WA,53,Pierce,53,470859N,1214052W,47.1498287,-121.6812116,470655N,1214013W,47.1153848,-121.6703772,506,1660,Greenwater,9/10/79,
1525182,Rocky Slough,Stream,WA,53,Pierce,53,465317N,1222602W,46.888157,-122.4340069,465441N,1222357W,46.9113889,-122.3991667,153,502,Harts Lake,9/10/79,
1525184,Roesiger Creek,Stream,WA,53,Snohomish,61,475645N,1215341W,47.9459336,-121.8948469,475819N,1215519W,47.9719444,-121.9219444,130,427,Lake Roesiger,9/10/79,
1525185,Lake Roesiger,Lake,WA,53,Snohomish,61,475940N,1215432W,47.9945667,-121.9089781,,,,,175,574,Lake Roesiger,9/10/79,5/21/19
1525187,Roger Creek,Stream,WA,53,Clark,11,454902N,1222036W,45.8173362,-122.3434274,455036N,1221900W,45.8433333,-122.3166667,198,650,Dole,9/10/79,
1525192,Roland Creek,Stream,WA,53,Whatcom,73,484608N,1210127W,48.7690196,-121.0242865,484554N,1205836W,48.7651313,-120.9767849,487,1598,Pumpkin Mountain,9/10/79,
1525195,Rollins Creek,Stream,WA,53,Snohomish,61,481650N,1215014W,48.280662,-121.837357,481951N,1215014W,48.3308333,-121.8372222,86,282,Mount Higgins,9/10/79,
1525198,Roman Wall,Cliff,WA,53,Whatcom,73,484625N,1214940W,48.7737311,-121.8276458,,,,,2982,9783,Mount Baker,9/10/79,
1525202,Roosevelt Glacier,Glacier,WA,53,Whatcom,73,484728N,1215013W,48.7909758,-121.8368137,,,,,2116,6942,Mount Baker,9/10/79,11/18/20
1525204,Rooster Comb,Ridge,WA,53,Pierce,53,470242N,1214956W,47.0449484,-121.8323221,,,,,1656,5433,Bearhead Mountain,9/10/79,2/27/20
1525207,Rooster Comb Trail,Trail,WA,53,King,33,471252N,1213223W,47.2145542,-121.5398181,,,,,721,2365,Nagrom,9/10/79,
1525212,Rose Lake,Lake,WA,53,Mason,45,472015N,1231247W,47.3374745,-123.2129327,,,,,139,456,Skokomish Valley,9/10/79,5/16/19
1525219,Ross Creek,Stream,WA,53,Snohomish,61,480050N,1214821W,48.0139908,-121.8059576,480020N,1214855W,48.0055556,-121.8152778,265,869,Verlot,9/10/79,
